Page,Source,Device Category,Landing Page,Social Source Referral,Pageviews,Sessions,Connect to Provider (Goal 1 Completions),Avg. Time on Page,Hits,Session Duration,Users
/,analytics.google.com,desktop,/,No,2,2,0,0.00,2,0.00,1
/,baidu,mobile,/,No,2,2,0,0.00,2,0.00,2
/,duckduckgo,desktop,/guide-to-aging-in-place/,No,2,0,0,27.00,2,0.00,1
/,google,desktop,/directory-submission-form/,No,2,0,0,62.00,3,0.00,1
/,google,tablet,/,No,2,2,0,163.00,2,692.00,2
/?fbclid=IwAR1mYpzLfWLT1rzbr5YoUEZSS4SfNV4TtmHEc3c_1NBRlC2ayhBkG88Bxaw_aem_ARaiE2JNN-9FfxD3viWnMqYOSwTNh-mKYhm71vWTmvkVolDLFBtOhef7gkAJRzwvzkei0ZOMlQjQlCrx4TzciVfwW4PD8WsLcHUmK7f8A1QY4nERLLZRDg8tB9rNyAkHdNI,facebook,mobile,/?fbclid=IwAR1mYpzLfWLT1rzbr5YoUEZSS4SfNV4TtmHEc3c_1NBRlC2ayhBkG88Bxaw_aem_ARaiE2JNN-9FfxD3viWnMqYOSwTNh-mKYhm71vWTmvkVolDLFBtOhef7gkAJRzwvzkei0ZOMlQjQlCrx4TzciVfwW4PD8WsLcHUmK7f8A1QY4nERLLZRDg8tB9rNyAkHdNI,Yes,2,1,0,2.00,2,2.00,1
/?fbclid=IwAR2zHgePcsWB05Iq00h8F-vXaKrjeFy7ukifWT6K0CKQKNo1_UDiYNHaz5w_aem_Af546CSfqPTCpPDPLbpOA8E7DGyEa5k_AJIwImKswQNN9PllYJX-ehZ3BcEv0Bgx3VCczpnDtPTDB_IJmGDC2lEysl62LD-xWM26rPMowT6jpjhXGdUV_txWU21GgTKMOOw,facebook,mobile,/?fbclid=IwAR2zHgePcsWB05Iq00h8F-vXaKrjeFy7ukifWT6K0CKQKNo1_UDiYNHaz5w_aem_Af546CSfqPTCpPDPLbpOA8E7DGyEa5k_AJIwImKswQNN9PllYJX-ehZ3BcEv0Bgx3VCczpnDtPTDB_IJmGDC2lEysl62LD-xWM26rPMowT6jpjhXGdUV_txWU21GgTKMOOw,Yes,2,2,0,12.50,2,25.00,1
/?fbclid=PAAabflAd_YB4TmgaDW5T48Qyz3t4dEROAfTHYIi2ZKAF1BuYjWmeK80Zp5u4_aem_AWLOwrOx3xnX26ntt525T1ay4NrLWwzO6v5wF9XyGjjQzwsWm1__0Je3QwiKQAxrHB8Im_W_v58esqmxzIDClw6ZGLCCSlx94h7pmEXY3VdAQpe8QBuJWwQ0Mar3Lq_nt9c,facebook,mobile,/?fbclid=PAAabflAd_YB4TmgaDW5T48Qyz3t4dEROAfTHYIi2ZKAF1BuYjWmeK80Zp5u4_aem_AWLOwrOx3xnX26ntt525T1ay4NrLWwzO6v5wF9XyGjjQzwsWm1__0Je3QwiKQAxrHB8Im_W_v58esqmxzIDClw6ZGLCCSlx94h7pmEXY3VdAQpe8QBuJWwQ0Mar3Lq_nt9c,Yes,2,1,0,3.00,2,3.00,1
/?s=connie+ward,google,desktop,/blog/im-sorry-i-changed-my-medicare-advantage-plan-and-i-want-my-old-one-back/,No,2,0,0,4.00,2,0.00,1
/?s=silver+key,alittlehelp.org,desktop,/,No,2,0,0,7.50,2,0.00,1
/about/,coloradononprofits.org,desktop,/,No,2,0,0,28.00,2,0.00,1
/about/,google,desktop,/provider/adams-county-aging-network-acan/,No,2,0,0,83.00,2,0.00,1
/about/,google,desktop,/provider/lifespark-cancer-resources/,No,2,0,0,15.00,2,0.00,1
/about/,google,desktop,/provider/weld-county-area-agency-on-aging/,No,2,0,0,16.00,2,0.00,1
/about/,google,mobile,/,No,2,0,0,0.00,2,0.00,2
/about/,google,mobile,/about/volunteer/,No,2,0,0,22.50,2,0.00,1
/about/volunteer/,google,mobile,/about/volunteer/,No,2,1,0,158.00,2,279.00,1
/aging-advocacy/area-agencies-on-aging/,google,desktop,/provider/jefferson-county-council-on-aging-jccoa/,No,2,0,0,83.00,2,0.00,1
/aging-advocacy/county-councils-on-aging/,google,desktop,/provider/adams-county-aging-network-acan/,No,2,0,0,5.00,2,0.00,1
/application-fee/,google,desktop,/,No,2,0,0,114.00,2,0.00,1
/blog/,(direct),desktop,/blog/,No,2,2,0,16.00,2,63.00,2
/blog/,google,mobile,/about/volunteer/,No,2,0,0,11.00,2,0.00,1
/blog/a-look-ahead-at-the-economic-and-social-consequences-of-cos-rapidly-aging-population/,(direct),desktop,/blog/a-look-ahead-at-the-economic-and-social-consequences-of-cos-rapidly-aging-population/,No,2,2,0,0.00,2,0.00,2
/blog/agetech-what-is-it-its-impact-now-and-in-the-future/,(direct),desktop,/blog/agetech-what-is-it-its-impact-now-and-in-the-future/,No,2,2,0,0.00,2,0.00,1
/blog/agetech-what-is-it-its-impact-now-and-in-the-future/,(direct),desktop,/blog/technology-and-aging/,No,2,0,0,443.00,2,0.00,1
